threshold;esco_level;compared;correct;archived_accuracy_pct
0.5;Major group;188;147;78.19
0.5;Sub-major group;188;134;71.28
0.5;Minor group;188;106;56.38
0.5;Unit group;188;83;44.15
0.5;ESCO sub-unit;188;70;37.23
0.5;Full code;188;62;32.98
0.6;Major group;142;124;87.32
0.6;Sub-major group;142;120;84.51
0.6;Minor group;142;101;71.13
0.6;Unit group;142;81;57.04
0.6;ESCO sub-unit;142;69;48.59
0.6;Full code;142;63;44.37
0.7;Major group;137;120;87.59
0.7;Sub-major group;137;119;86.86
0.7;Minor group;137;100;72.99
0.7;Unit group;137;80;58.39
0.7;ESCO sub-unit;137;69;50.36
0.7;Full code;137;63;45.99
0.8;Major group;119;105;88.24
0.8;Sub-major group;119;104;87.39
0.8;Minor group;119;86;72.27
0.8;Unit group;119;66;55.46
0.8;ESCO sub-unit;119;60;50.42
0.8;Full code;119;54;45.38
0.9;Major group;116;103;88.79
0.9;Sub-major group;116;102;87.93
0.9;Minor group;116;84;72.41
0.9;Unit group;116;64;55.17
0.9;ESCO sub-unit;116;58;50.00
0.9;Full code;116;52;44.83
